     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         4,         0,         0,   149.6,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,   0.280,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,   0.383,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,   0.371,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,    3.41,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,   151.0,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,   0.479,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         4,         0,         0,    74.3,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,   0.227,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,   0.349,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,    3.12,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.176,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,    75.8,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.187,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,    6.37,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.298,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
         2,         0,         0,    5.31,bposd,c9218314ee5d2c29ac5b79f503bdaac3ce26a9b213afefd64c343acf4ff0b5a4,"{""A"":""x0y0+x1y0"",""B"":""x0y0+x0y10+x3y20"",""b"":""X"",""d"":7,""excl_opp_detectors"":""True"",""k"":40,""l"":8,""leak_heralds"":""False"",""leak_repump"":""True"",""leakage"":""True"",""loss"":""True"",""m"":30,""n"":480,""p"":0.001,""prllel_1q"":480,""prllel_2q"":120,""r"":20,""repump_cycles"":3,""seq_meas"":""True"",""seq_ops"":""True"",""swapLRC"":""False""}",
